Date,Time,Close,Open,High,Low,Volume
20260918,153600,82900,82900,82900,82900,0
20260918,153700,82900,82900,82900,82900,0
20260918,153800,82900,82900,82900,82900,0
20260918,153900,82900,82900,82900,82900,0
20260918,154000,82900,82900,82900,82900,0
20260918,154100,82900,82900,82900,82900,0
20260918,154200,82900,82900,82900,82900,0
20260918,154300,82900,82900,82900,82900,0
20260918,154400,82900,82900,82900,82900,0
20260918,154500,82900,82900,82900,82900,0
20260918,154600,82900,82900,82900,82900,0
20260918,154700,82900,82900,82900,82900,0
20260918,154800,82900,82900,82900,82900,0
20260918,154900,82900,82900,82900,82900,0
20260918,155000,82900,82900,82900,82900,0
20260918,155100,82900,82900,82900,82900,0
20260918,155200,82900,82900,82900,82900,0
20260918,155300,82900,82900,82900,82900,0
20260918,155400,82900,82900,82900,82900,0
20260918,155500,82900,82900,82900,82900,0
20260918,155600,82900,82900,82900,82900,0
20260918,155700,82900,82900,82900,82900,0
20260918,155800,82900,82900,82900,82900,0
20260918,155900,82900,82900,82900,82900,0
20260918,160000,83100,83000,83100,82900,15
20260918,160100,83100,83100,83100,83100,59
20260918,160200,83100,83100,83100,83100,65
20260918,160300,83100,83100,83100,83100,204
20260918,160400,83100,83100,83100,83100,50
20260918,160500,83100,83100,83100,83100,0
20260918,160600,83100,83100,83100,83100,32
20260918,160700,83100,83100,83100,83100,21
20260918,160800,83100,83100,83100,83100,113
20260918,160900,83000,83000,83000,83000,214
20260918,161000,83000,83000,83000,83000,0
20260918,161100,83000,83000,83000,83000,2
20260918,161200,83100,83100,83100,83100,6
20260918,161300,83100,83100,83100,83100,4
20260918,161400,83100,83100,83100,83100,4
20260918,161500,83100,83100,83100,83100,479
20260918,161600,83100,83100,83100,83100,63
20260918,161700,83100,83100,83100,83100,19
20260918,161800,83100,83100,83100,83100,5
20260918,161900,83100,83100,83100,83100,0
20260918,162000,83100,83100,83100,83100,0
20260918,162100,83100,83200,83200,83100,10
20260918,162200,83100,83100,83100,83100,10
20260918,162300,83200,83200,83200,83200,181
